obiekt,zabojstwa,napady,ludnosc_miejska,gwalty
L1,12.0,193.0,51.0,21.0
L2,9.0,222.0,39.0,42.0
L3,6.0,226.0,72.0,30.0
L4,8.0,177.0,50.0,17.0
L5,7.0,235.0,86.0,39.0
L6,5.0,170.0,78.0,37.0
L7,0.0,35.0,75.0,7.0
L8,4.0,198.0,70.0,15.0
L9,13.0,259.0,74.0,30.0
L10,15.0,136.0,52.0,24.0
L11,5.0,32.0,82.0,17.0
L12,0.0,54.0,47.0,12.0
L13,10.0,218.0,79.0,20.0
L14,7.0,26.0,65.0,19.0
L15,2.0,0.1,53.0,9.0
L16,3.0,80.0,56.0,16.0
L17,7.0,70.0,43.0,15.0
L18,15.0,159.0,61.0,19.0
L19,1.0,0.1,45.0,7.0
L20,10.0,260.0,63.0,28.0
L21,2.0,138.0,82.0,13.0
L22,11.0,251.0,68.0,35.0
L23,1.0,3.0,62.0,14.0
L24,13.0,209.0,44.0,13.0
L25,8.0,80.0,61.0,28.0
L26,5.0,19.0,45.0,15.0
L27,4.0,10.0,56.0,13.0
L28,11.0,239.0,75.0,43.0
L29,0.0,0.1,53.0,6.0
L30,5.0,155.0,87.0,19.0
L31,12.0,229.0,64.0,32.0
L32,9.0,161.0,85.0,23.0
L33,13.0,321.0,45.0,13.0
L34,0.1,27.0,44.0,6.0
L35,8.0,119.0,73.0,18.0
L36,4.0,116.0,59.0,20.0
L37,4.0,103.0,58.0,29.0
L38,4.0,57.0,67.0,13.0
L39,2.0,97.0,83.0,5.0
L40,13.0,210.0,46.0,21.0
L41,3.0,1.0,43.0,12.0
L42,14.0,96.0,58.0,27.0
L43,13.0,137.0,79.0,25.0
L44,0.0,49.0,74.0,21.0
L45,0.1,44.0,24.0,8.0
L46,7.0,100.0,58.0,16.0
L47,1.0,62.0,73.0,24.0
L48,5.0,65.0,34.0,9.0
L49,0.0,0.1,60.0,11.0
L50,6.0,143.0,51.0,11.0
