x1,x2,x3,x4,klasa
30.1,-4.9,-0.4,8.0,39.0
31.1,-5.6,-0.4,7.0,39.0
44.4,-5.1,-3.7,5.0,39.0
48.4,-4.5,-3.3,5.0,39.0
33.1,-4.4,-1.8,7.0,39.0
39.6,-6.9,-4.3,5.0,39.0
44.4,-6.9,-3.8,5.0,39.0
34.1,-4.4,-0.6,7.0,39.0
47.4,-5.7,-4.6,5.0,39.0
33.1,-4.5,-2.4,8.0,39.0
34.1,-4.0,-2.5,8.0,39.0
36.9,-5.3,-2.5,7.0,39.0
38.9,-6.5,-2.3,8.0,39.0
27.299999999999997,-4.6,-0.6,7.0,39.0
42.6,-4.3,-2.5,7.0,39.0
30.299999999999997,-3.7,-2.4,8.0,39.0
44.6,-4.5,-2.4,7.0,39.0
47.4,-5.5,-3.7,5.0,39.0
49.4,-5.9,-2.7,7.0,39.0
32.1,-4.9,-2.5,7.0,39.0
35.1,-5.5,-4.1,5.0,39.0
39.6,-5.9,-2.4,7.0,39.0
28.299999999999997,-5.1,-0.4,8.0,39.0
47.4,-5.2,-3.9,5.0,39.0
38.9,-5.7,-3.8,5.0,39.0
40.6,-5.1,-3.6,6.0,39.0
43.6,-3.9,-2.4,7.0,39.0
33.1,-5.7,-4.6,5.0,39.0
42.6,-5.3,-3.8,5.0,39.0
49.4,-5.5,-4.5,5.0,39.0
42.6,-4.0,-2.5,7.0,39.0
48.4,-5.6,-4.5,5.0,39.0
31.1,-3.8,-1.8,7.0,39.0
48.4,-5.7,-4.6,5.0,39.0
30.1,-5.6,-4.5,5.0,39.0
41.6,-5.7,-4.3,6.0,39.0
45.4,-5.9,-2.6,7.0,39.0
26.299999999999997,-3.8,-0.6,7.0,39.0
48.4,-5.8,-4.2,6.0,39.0
39.9,-5.2,-2.4,7.0,39.0
43.6,-5.7,-2.3,8.0,39.0
35.9,-5.3,-0.4,7.0,39.0
52.4,-6.6,-3.7,5.0,69.0
52.4,-6.8,-4.5,5.0,69.0
38.1,-5.2,-1.8,8.0,69.0
47.6,-3.6,-3.3,3.0,69.0
52.4,-6.4,-2.5,7.0,69.0
52.4,-6.3,-4.5,5.0,69.0
52.4,-5.9,-4.5,5.0,69.0
42.9,-5.3,-2.3,7.0,69.0
42.9,-5.7,-2.4,7.0,69.0
52.4,-3.6,-2.5,7.0,69.0
33.3,-3.3,-1.3,7.0,69.0
52.4,-6.3,-2.5,7.0,69.0
47.6,-5.7,-2.5,7.0,69.0
42.9,-4.4,-3.4,5.0,69.0
38.1,-5.0,-0.6,7.0,69.0
42.9,-6.4,-4.5,5.0,69.0
47.6,-5.7,-3.2,5.0,69.0
42.9,-6.4,-3.9,5.0,69.0
52.4,-6.4,-3.7,6.0,69.0
47.6,-5.7,-3.7,5.0,69.0
33.3,-5.0,-0.6,7.0,69.0
38.1,-6.9,-0.6,7.0,69.0
52.4,-4.9,-1.8,7.0,69.0
38.1,-5.1,-2.6,7.0,69.0
42.9,-4.5,-2.5,7.0,69.0
33.3,-3.3,-0.6,7.0,69.0
52.4,-5.2,-3.8,5.0,69.0
57.1,-3.9,-3.0,3.0,69.0
52.4,-4.7,-2.5,8.0,69.0
38.1,-6.8,-2.5,7.0,69.0
52.4,-5.4,-2.6,7.0,69.0
52.4,-6.8,-4.5,5.0,69.0
52.4,-4.7,-2.5,8.0,69.0
42.9,-4.7,-0.6,7.0,69.0
38.1,-5.7,-0.6,7.0,69.0
52.4,-5.9,-4.5,5.0,69.0
47.6,-4.3,-2.4,7.0,69.0
47.6,-5.6,-3.8,5.0,69.0
47.6,-5.6,-0.6,7.0,69.0
52.4,-6.4,-0.4,7.0,69.0
42.9,-5.1,-2.3,8.0,69.0
38.1,-3.3,-2.2,8.0,69.0
47.6,-4.4,-2.7,7.0,69.0
33.3,-3.5,-1.3,7.0,69.0
42.9,-4.9,-2.7,7.0,69.0
33.3,-3.9,-0.4,7.0,69.0
38.1,-5.8,-0.6,7.0,69.0
42.9,-4.7,-0.6,7.0,69.0
47.6,-6.8,-2.4,8.0,69.0
38.1,-6.9,-2.3,8.0,69.0
60.4,-5.7,-4.7,5.0,69.0
55.6,-5.6,-4.5,5.0,69.0
55.6,-5.6,-4.5,5.0,69.0
60.4,-6.2,-3.9,6.0,84.0
55.6,-6.6,-4.3,6.0,84.0
46.1,-7.4,-0.4,9.0,84.0
55.6,-5.8,-0.4,9.0,84.0
60.4,-6.2,-3.8,6.0,84.0
41.3,-6.3,-2.3,8.0,84.0
50.9,-6.0,-2.5,7.0,84.0
46.1,-4.5,-1.4,7.0,84.0
60.4,-6.9,-2.5,7.0,84.0
50.9,-5.6,-0.4,7.0,84.0
55.6,-6.0,-2.4,7.0,84.0
60.4,-7.4,-4.5,5.0,84.0
41.3,-5.5,-0.6,8.0,84.0
50.9,-6.7,-3.7,5.0,84.0
60.4,-6.3,-3.3,6.0,84.0
41.3,-9.3,-0.6,7.0,84.0
50.9,-6.6,-4.4,5.0,84.0
41.3,-5.8,-0.6,8.0,84.0
55.6,-5.5,-2.4,7.0,84.0
50.9,-5.8,-4.4,4.0,84.0
55.6,-6.9,-4.6,5.0,84.0
60.4,-6.6,-3.7,5.0,84.0
55.6,-7.4,-2.5,7.0,84.0
60.4,-6.8,-3.6,5.0,84.0
55.6,-7.4,-4.5,5.0,84.0
60.4,-6.6,-4.4,6.0,84.0
55.6,-5.7,-2.7,8.0,84.0
55.6,-7.4,-2.5,8.0,84.0
50.9,-6.3,-2.7,8.0,84.0
50.9,-5.8,-2.6,8.0,84.0
55.6,-5.5,-2.5,9.0,84.0
46.1,-7.3,-2.3,9.0,84.0
55.6,-6.6,-4.5,5.0,84.0
55.6,-7.3,-2.3,9.0,84.0
60.4,-7.9,-2.5,8.0,84.0
60.4,-5.7,-3.3,5.0,84.0
41.3,-6.0,-2.7,8.0,84.0
50.9,-3.5,-0.6,7.0,84.0
60.4,-6.4,-2.4,7.0,84.0
46.1,-6.3,-2.5,8.0,84.0
55.6,-7.9,-4.6,5.0,84.0
55.6,-5.5,-2.5,7.0,84.0
55.6,-7.4,-2.6,7.0,84.0
46.1,-6.3,-2.6,7.0,84.0
55.6,-6.5,-2.5,8.0,84.0
50.9,-7.3,-2.5,8.0,84.0
60.4,-5.7,-3.8,3.0,84.0
55.6,-7.4,-2.5,7.0,84.0
55.6,-6.6,-4.5,5.0,84.0
50.9,-7.4,-3.9,5.0,84.0
55.6,-6.3,-2.3,7.0,84.0
60.4,-6.2,-3.8,6.0,84.0
55.6,-7.8,-2.5,7.0,84.0
60.4,-6.2,-4.2,7.0,84.0
50.9,-7.9,-0.6,7.0,84.0
60.4,-6.3,-3.8,5.0,84.0
55.6,-4.8,-2.5,8.0,84.0
50.9,-6.2,-2.7,7.0,84.0
50.9,-5.5,-2.5,8.0,84.0
60.4,-6.6,-3.8,5.0,84.0
55.6,-6.2,-3.6,6.0,84.0
50.9,-4.5,-1.3,8.0,84.0
46.1,-4.9,-2.4,8.0,84.0
50.9,-6.5,-2.4,9.0,84.0
46.1,-5.9,-0.6,8.0,84.0
46.1,-3.5,-0.6,8.0,84.0
41.3,-5.3,-0.6,8.0,84.0
55.6,-6.7,-2.5,8.0,84.0
60.4,-8.8,-3.6,5.0,84.0
50.9,-7.4,-2.4,7.0,84.0
50.9,-5.4,-0.6,7.0,84.0
46.1,-6.7,-2.6,7.0,84.0
46.1,-5.0,-0.6,8.0,84.0
50.9,-4.9,-2.7,8.0,84.0
46.1,-4.8,-0.6,7.0,84.0
60.4,-5.4,-2.4,7.0,84.0
55.6,-5.1,-2.7,7.0,84.0
